dfa_id,auc_roc,auc_pr,fpr_out,ece_in,ece_out,n_prefixes,sigma_ref_size
0,0.8297841425173011,0.6918657300163901,0.0,1.0,0.0,136,4
1,0.8212721669550173,0.6818236386906229,0.0,1.0,0.0,136,4
2,0.76738136431043,0.6715810863221261,0.0,1.0,0.0,136,5
3,0.8469458861976163,0.6778116699111405,0.0,1.0,0.0,136,3
4,0.8772106881968473,0.7211965377381812,0.0,1.0,0.0,136,3
5,0.7709470966695501,0.6360549415487399,0.0,1.0,0.0,136,4
6,0.728619315373208,0.6532856318614175,0.0,1.0,0.0,136,5
8,0.9609672361591696,0.8372892307866714,0.0,1.0,0.0,136,2
9,0.9470750432525951,0.8159593042547523,0.0,1.0,0.0,136,2
10,0.806453084450692,0.6747204758260742,0.0,1.0,0.0,136,4
11,0.8478029283608869,0.6714212185519133,0.0,1.0,0.0,136,3
13,0.6810677212061295,0.6139753693446811,0.0,1.0,0.0,136,5
14,0.8144062036579337,0.7112193800835348,0.0,1.0,0.0,136,5
15,0.8492478103373702,0.7310527534583497,0.0,1.0,0.0,136,4
16,0.7633357019278298,0.6801508940310146,0.0,1.0,0.0,136,5
17,0.8417951854455017,0.6976131112939332,0.0,1.0,0.0,136,4
18,0.7771780771131982,0.7007606598229695,0.0,1.0,0.0,136,5
19,0.8098909416707859,0.7214548527938947,0.0,1.0,0.0,136,5
20,0.7913664730598122,0.7075826062294586,0.0,1.0,0.0,136,5
21,0.6937025422914262,0.6838282097583396,0.0,1.0,0.0,136,6
22,0.8258255163278547,0.6658667756870511,0.0,1.0,0.0,136,4
23,0.7583176767949827,0.6277136754890337,0.0,1.0,0.0,136,4
24,0.7566717128027681,0.6923734073295147,0.0,1.0,0.0,136,5
25,0.7193694389520514,0.6459266894044944,0.0,1.0,0.0,136,5
26,0.7514597750865053,0.6245052487432609,0.0,1.0,0.0,136,4
27,0.6885302527873897,0.6778809751457407,0.0,1.0,0.0,136,6
28,0.7335640138408305,0.7188753724548171,0.0,1.0,0.0,136,6
31,0.6591515282583622,0.654795196999656,0.0,1.0,0.0,136,6
33,0.8095624279123413,0.7627023176993935,0.0,1.0,0.0,136,6
34,0.6965954028670291,0.6285714573130126,0.0,1.0,0.0,136,5
35,0.7287311370626681,0.7059215761761444,0.0,1.0,0.0,136,6
36,0.7494099110232328,0.7759349159185113,0.0,1.0,0.0,136,7
37,0.7772244191794365,0.700914515592027,0.0,1.0,0.0,136,5
38,0.7490318852724913,0.6249206411420023,0.0,1.0,0.0,136,4
39,0.7149984381007305,0.6884721169756207,0.0,1.0,0.0,136,6
40,0.7042619253583786,0.7396754251235985,0.0,1.0,0.0,136,7
41,0.659728229527105,0.6732057138556345,0.0,1.0,0.0,136,6
42,0.7611514458724666,0.6794089654643316,0.0,1.0,0.0,136,5
46,0.7458925481957489,0.6712980309827508,0.0,1.0,0.0,136,5
47,0.6752965892239249,0.7275783626200996,0.0,1.0,0.0,136,7
48,0.8243218128243944,0.6826447227968564,0.0,1.0,0.0,136,4
49,0.6697444717776817,0.7800557735287006,0.0,1.0,0.0,136,8
50,0.844976616565744,0.7019271334082485,0.0,1.0,0.0,136,4
52,0.8670883794694348,0.6968777386284792,0.0,1.0,0.0,136,3
53,0.7289900519031142,0.6580456504244312,0.0,1.0,0.0,136,5
54,0.6922006302521009,0.6434300250396319,0.0,1.0,0.0,136,5
55,0.7168885936727633,0.6580431957384658,0.0,1.0,0.0,136,5
57,0.8737945341535308,0.7001060859038847,0.0,1.0,0.0,136,3
58,0.706994079801038,0.5875247553057819,0.0,1.0,0.0,136,4
59,0.8594390779187492,0.7001004314267381,0.0,1.0,0.0,136,3
60,0.8154753054714533,0.6687712408086895,0.0,1.0,0.0,136,4
61,0.7555890462802769,0.6209001889994616,0.0,1.0,0.0,136,4
62,0.7878413865546219,0.7094823916209503,0.0,1.0,0.0,136,5
64,0.615359777489427,0.6434198559235513,0.0,1.0,0.0,136,6
65,0.6307881240731587,0.6037556091788698,0.0,1.0,0.0,136,5
66,0.7259287293348712,0.7090711490332775,0.0,1.0,0.0,136,6
68,0.8399991890138409,0.6998386259314179,0.0,1.0,0.0,136,4
69,0.8316342046929066,0.6818504818015728,0.0,1.0,0.0,136,4
71,0.7808766084558825,0.6589769864756833,0.0,1.0,0.0,136,4
72,0.8040397122901448,0.6388449000840744,0.0,1.0,0.0,136,3
74,0.8709670959887222,0.7041547002581001,0.0,1.0,0.0,136,3
75,0.664880995290273,0.6708082688014538,0.0,1.0,0.0,136,6
76,0.8233612072279892,0.6155019331978082,0.0,1.0,0.0,136,3
77,0.6528408544790465,0.6486278533863572,0.0,1.0,0.0,136,6
78,0.7410723940311419,0.6022083079598771,0.0,1.0,0.0,136,4
79,0.7942335022244194,0.7048925955354999,0.0,1.0,0.0,136,5
81,0.7976420577422145,0.661179230132473,0.0,1.0,0.0,136,4
82,0.7288062283737026,0.7494413139901441,0.0,1.0,0.0,136,7
83,0.8403899141355888,0.6669954991119651,0.0,1.0,0.0,136,3
84,0.80109381758218,0.6563722179276446,0.0,1.0,0.0,136,4
85,0.7894375810986158,0.6522772013313114,0.0,1.0,0.0,136,4
86,0.8145364763552481,0.6461689489158039,0.0,1.0,0.0,136,3
88,0.7125429522299115,0.6961760853049204,0.0,1.0,0.0,136,6
89,0.9525221669550172,0.816504172212211,0.0,1.0,0.0,136,2
90,0.8109996756055362,0.6602437430407947,0.0,1.0,0.0,136,4
91,0.890368688325003,0.7522166734095492,0.0,1.0,0.0,136,3
92,0.8101504572417202,0.7220233180093117,0.0,1.0,0.0,136,5
94,0.8741189286171984,0.7050895810774739,0.0,1.0,0.0,136,3
95,0.8167154384731834,0.6765974947022522,0.0,1.0,0.0,136,4
97,0.7522800296589225,0.6693322392192638,0.0,1.0,0.0,136,5
98,0.7405401843641869,0.607757106578863,0.0,1.0,0.0,136,4
99,0.6768397800296589,0.6190909559701394,0.0,1.0,0.0,136,5
100,0.6771103662053057,0.6674722724164623,0.0,1.0,0.0,136,6
101,0.9012058663334614,0.746376638753242,0.0,1.0,0.0,136,3
103,0.7419502114571318,0.7074032405820162,0.0,1.0,0.0,136,6
105,0.8903046104062541,0.7282876694622271,0.0,1.0,0.0,136,3
106,0.7318663494809688,0.6683241264484016,0.0,1.0,0.0,136,5
107,0.7685862580326248,0.6757913629946847,0.0,1.0,0.0,136,5
109,0.7714480808663335,0.6184794014780938,0.0,1.0,0.0,136,3
110,0.6873077662437524,0.6817185972742175,0.0,1.0,0.0,136,6
112,0.6999335763717252,0.6385425225750702,0.0,1.0,0.0,136,5
113,0.6542150254709727,0.681834861913895,0.0,1.0,0.0,136,6
114,0.7597798923490965,0.7237372513065179,0.0,1.0,0.0,136,6
115,0.8450154763192042,0.699026563838655,0.0,1.0,0.0,136,4
116,0.7983718487394958,0.7146329085281555,0.0,1.0,0.0,136,5
117,0.8883942874535434,0.7307318904440032,0.0,1.0,0.0,136,3
118,0.7096639513648596,0.6859199823683293,0.0,1.0,0.0,136,6
119,0.7937639026198714,0.6916309415980543,0.0,1.0,0.0,136,5
121,0.7381207423226644,0.6078814442945766,0.0,1.0,0.0,136,4
122,0.7600607338523644,0.7207750507818835,0.0,1.0,0.0,136,6
